,Назва,Правовий статус,ЄДРПОУ,Кількість осіб,Класи наслідків,Посилання
76,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНСПЕКТРУМ""",Юридична особа,41308216,16,"['СС1', 'СС2', 'СС3']",/organizations_detail/2461104019246941734?org_type=1
77,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛУГЕКСПЕРТИЗА""",Юридична особа,38681312,11,[],/organizations_detail/3412162826284828631?org_type=1
78,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЦЕНТР ЕКСПЕРТИЗИ""",Юридична особа,41632988,17,[],/organizations_detail/3430795033333204725?org_type=1
79,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОЕКСП""",Юридична особа,40993694,36,[],/organizations_detail/3424282394738296826?org_type=1
80,ТОВ «Професійна будівельна експертиза»,Юридична особа,43664037,13,"['СС1', 'СС2']",/organizations_detail/2593031723767825513?org_type=1
81,"Товариство з обмеженою відповідальністю ""Будівельна експертиза проектів""",Юридична особа,44637203,12,"['СС1', 'СС2']",/organizations_detail/2982283359591335198?org_type=1
82,"ТОВ ""ЕРА""",Юридична особа,45209651,10,"['СС1', 'СС2', 'СС3']",/organizations_detail/3322788933888115841?org_type=1
83,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКА ЕКСПЕРТИЗА""",Юридична особа,45423926,28,"['СС1', 'СС2', 'СС3']",/organizations_detail/3454698524342486514?org_type=1
84,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ТЕРНОБУДТЕХЕКСПЕРТ""",Юридична особа,35308234,11,"['СС1', 'СС2']",/organizations_detail/2601550042657457513?org_type=1
85,"ТОВ ""ЕкспертБудКонсалт""",Юридична особа,43644115,16,"['СС1', 'СС2']",/organizations_detail/2542923469314590389?org_type=1
86,"ТОВ  ""НВП ""Міжрегіональна будівельна експертиза""",Юридична особа,40719528,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410084?org_type=1
87,"ДП ""Жилком""",Юридична особа,32350021,20,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508182021471?org_type=1
88,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКА БУДІВЕЛЬНА ЕКСПЕРТИЗА""",Юридична особа,37635443,22,"['СС1', 'СС2', 'СС3']",/organizations_detail/2629071494696666272?org_type=1
