registration_number_edessb,reason
EX01:4910-4913-2582-6616,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:4966-7448-2159-7886,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:5003-8763-8922-6174,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:5059-1970-0539-9652,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:5065-8168-2795-5161,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:5167-1976-5192-8889,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:5383-1951-5005-9114,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:5424-6271-6018-8409,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:5584-4841-6286-4319,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:5630-1123-0675-9646,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:5637-3867-1349-8631,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:5775-5091-4833-8160,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:5782-2586-1158-6589,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = ескізний проект (ЕП), last_stage = ескізний проект (ЕП)"
EX01:6096-6215-7042-5997,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:6601-4073-9847-9088,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:6713-1743-4223-9308,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:6750-7576-6517-9431,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:6821-6568-2687-3288,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робоча документація (Р), last_stage = проект (П)"
EX01:6851-4803-4505-2636,"Зміна стадій проектування: first_design = 3, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:6868-7659-2498-4232,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = ескізний проект (ЕП)"
EX01:6951-4614-5369-4481,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = ескізний проект (ЕП), last_stage = ескізний проект (ЕП)"
EX01:6976-5528-5579-9323,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:7100-1816-3776-0311,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:7106-0588-9588-5358,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:7147-7095-7874-1561,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:7153-5409-7569-0788,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:7207-5578-7045-3829,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:7228-4751-1203-2054,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:7237-5064-0058-5548,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:7374-9322-1513-7663,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:7401-7217-0146-8083,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:7521-5735-9354-8799,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = робоча документація (Р)"
EX01:7606-9367-6061-6937,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = робоча документація (Р), last_stage = робоча документація (Р)"
EX01:7678-1111-1918-0824,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:7680-1197-5301-6954,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:7682-8435-3560-6792,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:7720-2255-3752-4808,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:7726-7411-1956-7540,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:7779-3030-3039-2472,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:7798-3914-1629-2422,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:7848-2656-5545-3040,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:7889-5067-7310-7975,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:7892-8686-1196-6445,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:8057-1543-2217-1843,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:8121-1995-4227-3425,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:8385-0411-6709-1060,"Зміна стадій проектування: first_design = 2, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:8456-3215-4711-0006,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:8479-3498-0469-6610,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:8482-7301-3689-7016,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:8505-0638-6905-6687,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
