;Column;Non-Null %
416;Термін, р. (примітка);0.02
417;Термін, р.;0.02
418;Граничне експлуатаційне значення навантажень для  конструкцій перекриттів, кг/м2 (примітка);0.02
419;Кількість машино-місць для мало мобільних груп населення, шт;0.02
420;Довжина мереж дощової каналізації, м;0.02
421;Чисельність персоналу, осіб/МВт;0.02
422;Площа утеплення перекриття, м2 (примітка);0.02
423;Річна потреба в холодному водопостачанні, тис.м3 (примітка);0.02
424;Радіуси горизонтальних кривих, м (примітка);0.02
425;Граничне експлуатаційне значення навантажень для конструкцій перекриттів, (примітка);0.02
426;Кількість номерів для осіб з інвалідністю, шт;0.02
427;Кількість колодязів, од;0.02
428;Висота цокольного поверху, м;0.02
429;Площа тротуару, м2 (примітка);0.02
430;Ширина смуги руху, м (примітка);0.02
431;Площа даху, м2 (примітка);0.02
432;Площа асфальтобетонного покриття проїздної частини, м2 (примітка);0.02
433;Граничне розрахункове значення навантажень для  конструкцій покриття, кг/м2 (примітка);0.02
434;Річна витрата палива натурального, тис.т.;0.02
435;Мінімальний розмір заробітної плати, тис. грн (примітка);0.02
436;Функціональне призначення, (примітка);0.02
437;Річна потреба в тепловій енергії, МВт·год (примітка);0.02
438;Площа проїзної частини, м2 (примітка);0.02
439;Вага, кг;0.01
440;Площа сходів та сходових кліток, м2;0.01
441;Габарит по ширині, м (примітка);0.01
442;Ширина проїзної частини перед спорудою, м;0.01
443;Напрямні стовпчики, шт;0.01
444;Проектне навантаження, т (примітка);0.01
445;Річна потреба в сировині та матеріалах, од (примітка);0.01
446;Кількість машиномісць для осіб з інвалідністю, од;0.01
447;Річна потреба нафтопродуктів, тис.т;0.01
448;Пропускна спроможність, т перероб/доб (примітка);0.01
449;Питома витрата умовного палива на 1ГДж відпущеної теплової енергії, т.у.п./ГДж;0.01
450;Пропускна спроможність, т перероб/доб;0.01
451;Вага, кг (примітка);0.01
452;Термін експлуатації, міс;0.01
453;Напрямні стовпчики, шт (примітка);0.01
454;Річна потреба в сировині та матеріалах, од;0.01
455;Проектне навантаження, т;0.01
456;Габарит по висоті, м;0.01
457;Граничне розрахункове значення навантажень для  конструкцій перекриттів, кг/м2 (примітка);0.01
458;Кількість машиномісць на спеціально обладнаних майданчиках для паркування, од (примітка);0.01
459;Кількість машиномісць для тимчасового зберігання, од;0.01
460;Річна потреба водовідведення стічних вод, м3 (примітка);0.01
461;Загальний показник питомого енергоспоживання при опалені, кВт×год/м² [кВт×год/м³] (примітка);0.01
462;Кількість ванних кімнат, од (примітка);0.01
463;Кількість машиномісць на відведених майданчиках для паркування (в межах проїзної частини вулиці, дороги), од (примітка);0.01
464;Річна потреба в побутовій каналізації, тис.м3 (примітка);0.01
465;Чисельність персоналу, осіб/МВт (примітка);0.01
466;Площа будинку, м2 (примітка);0.01
467;Загальна площа підземного паркінгу, м2 (примітка);0.01
468;Площа під водними об'єктами, м2;0.01
469;Місцеві електро- та телекомунікаційні системи на ділянці, пог.м;0.01
470;Магістральні лінії електропередачі на ділянці, пог.м;0.01
471;Магістральні нафтопроводи та газопроводи на ділянці, пог.м;0.01
472;Встановлена потужність котельні, МВт·год (примітка);0.01
473;Пішохідні переходи, од (примітка);0.01
474;Загальний об'єм трансформаторної підстанції, м3;0.01
475;Граничне експлуатаційне значення навантажень для  конструкцій покриття, кг/м2 (примітка);0.01
476;Кількість машино-місць для мало мобільних груп населення, шт (примітка);0.01
477;Матеріал стін,;0.01
478;Кількість ванних кімнат, од;0.01
479;Код типу об’єкта-аналога,;0.01
480;Код типу об’єкта-аналога, (примітка);0.01
481;Місцеві електро- та телекомунікаційні системи на ділянці, пог.м (примітка);0.01
482;Потужність струмоприймачів, кВт/МВт (примітка);0.01
483;Загальна ємність, м3;0.01
484;Місцеві трубопровідні системи для води та інших продуктів на ділянці, пог.м (примітка);0.01
485;Місцеві каналізаційні системи на ділянці, пог.м (примітка);0.01
486;Протяжність вулиці (дороги), м (примітка);0.01
487;Кількість номерів Стандарт, номер І категорії, шт;0.01
488;Дорожня розмітка, м2 (примітка);0.01
489;Категорія вулиці,;0.01
490;Граничне розрахункове значення навантажень для конструкцій перекриттів, (примітка);0.01
491;Освітленість проїзної частини, середня,;0.01
492;Діаметр, м (примітка);0.01
493;Площа підвалу, м2 (примітка);0.01
494;Площа під газонами, м2 (примітка);0.01
495;Кількість номерів II категорії, шт;0.01
496;Кількість номерів для осіб з інвалідністю, шт (примітка);0.01
497;Кількість номерів II категорії, шт (примітка);0.01
498;Магістральні водопроводи на ділянці, пог.м;0.01
499;Витрати на машини, обладнання та інвентар, тис. грн (примітка);0.01
500;Річна витрата палива натурального, тис.т. (примітка);0.01
501;Вартість основних фондів об'єкта будівництва, тис. грн (примітка);0.01
502;Поперечний ухил проїзної частини, ‰, (примітка);0.01
503;Річна потреба водовідведення виробничих стічних вод, м3 (примітка);0.01
504;Потужність об'єкта у вартісних показниках, тис. грн (примітка);0.01
505;Обсяг, (примітка);0.01
506;Загальна площа трансформаторної підстанції, м2;0.01
507;Будівельна довжина вкладання колій, км (примітка);0.01
508;Кількість смуг руху, шт (примітка);0.01
509;Пішохідне огородження, м;0.01
510;Освітленість проїзної частини, середня, (примітка);0.01
511;Висота цокольного поверху, м (примітка);0.01
512;Кількість переїздів, од;0.01
513;Коефіцієнт, коеф.;0.01
514;Річна потреба водовідведення виробничих стічних вод, м3;0.01
515;Балансова вартість, тис. грн (примітка);0.01
516;Діаметр, м;0.01
517;Площа утеплення фасадів, м2 (примітка);0.01
518;Площа щебеневого, гравійного покриття, м2 (примітка);0.01
519;Питомий показник споживання первинної  енергії (ep), кВт×год/м² (примітка);0.01
520;Питомий показник викидів парникових газів (MCO₂), кг/м2 (примітка);0.01
521;Коефіцієнт, коеф. (примітка);0.01
522;Загальна площа афальтобетонного покриття, м2 (примітка);0.01
523;Площа ділянки в межах проектування(проєкту), м2 (примітка);0.01
524;Ємність, м3;0.01
525;Ємність, м3 (примітка);0.01
526;Річна потреба в сировині та матеріалах, т (примітка);0.01
527;Загальна кількість машино-місць на тимчасових стоянках, шт (примітка);0.01
528;Кількість колодязів, од (примітка);0.01
529;Дорожні знаки, шт (примітка);0.01
530;Обсяг,;0.01
531;Річна витрата палива умовного, тис.т. (примітка);0.01
532;Теплова потужність, Гкал/год (примітка);0.01
533;Річна потреба в тепловій енергії, млн.Гкал;0.01
534;Глибина, м;0.01
535;Площа покриття з залізобетонних плит, м2;0.01
536;Площа покриття з залізобетонних плит, м2 (примітка);0.01
537;Кут, град;0.01
538;Кут, град (примітка);0.01
539;Річний випуск основної номенклатури продукції, умов.од;0.01
540;Магістральні водопроводи на ділянці, пог.м (примітка);0.01
541;Найменший поздовжній похил, град (примітка);0.01
542;Річна кількість годин використання встановленої потужності, год;0.01
543;Приєднані викиди вуглецю пов’язані із спорудженням об’єкта, т СO2,;0.01
544;Приєднані витрати енергії, пов’язані із спорудженням об’єкта, МВт·год;0.01
545;Частка матеріалів в об’єкті, які можуть бути використані повторно, %,;0.01
546;Річне вироблення теплової енергії, ГДж;0.01
547;Річне вироблення теплової енергії, ГДж (примітка);0.01
548;Розрахункова продуктивність котельні, МВт·год;0.01
549;Вантажопідйомність, т;0.01
550;Частота, Гц;0.0
551;Частота, Гц (примітка);0.0
552;Площа водного об'єкту, м2;0.0
553;Площа водного об'єкту, м2 (примітка);0.0
554;Вантажопідйомність, т (примітка);0.0
555;Площа тимчасових стоянок, м2;0.0
556;Площа тимчасових стоянок, м2 (примітка);0.0
557;Висота технічного поверху, м;0.0
558;Висота технічного поверху, м (примітка);0.0
559;Розрахункова продуктивність котельні, МВт·год (примітка);0.0
560;Сила струму, А;0.0
